"","x"
"1730",-129
"1731",-139
"1732",-132
"1733",-127
"1734",-132
"1735",-139
"1736",-139
"1737",-151
"1738",-151
"1739",-149
"1740",-149
"1741",-151
"1742",-154
"1743",-159
"1744",-156
"1745",-154
"1746",-156
"1747",-149
"1748",-137
"1749",-127
"1750",-117
"1751",-103
"1752",-88
"1753",-81
"1754",-66
"1755",-49
"1756",-34
"1757",-29
"1758",-29
"1759",-27
"1760",-49
"1761",-66
"1762",-71
"1763",-81
"1764",-93
"1765",-95
"1766",-103
"1767",-120
"1768",-115
"1769",-110
"1770",-115
"1771",-107
"1772",-110
"1773",-117
"1774",-110
"1775",-110
"1776",-115
"1777",-110
"1778",-103
"1779",-100
"1780",-95
"1781",-93
"1782",-100
"1783",-100
"1784",-90
"1785",-88
"1786",-85
"1787",-85
"1788",-85
"1789",-85
"1790",-85
"1791",-85
"1792",-85
"1793",-85
"1794",-85
"1795",-83
"1796",-85
"1797",-88
"1798",-90
"1799",-93
"1800",-83
"1801",-83
"1802",-88
"1803",-81
"1804",-88
"1805",-95
"1806",-90
"1807",-103
"1808",-100
"1809",-105
"1810",-105
"1811",-105
"1812",-105
"1813",-112
"1814",-117
"1815",-110
"1816",-93
"1817",-100
"1818",-103
"1819",-95
"1820",-103
"1821",-110
"1822",-110
"1823",-105
"1824",-90
"1825",-90
"1826",-88
"1827",-83
"1828",-78
"1829",-78
"1830",-83
"1831",-90
"1832",-88
"1833",-88
"1834",-90
"1835",-98
"1836",-98
"1837",-117
"1838",-227
"1839",-266
"1840",-22
"1841",669
"1842",1091
"1843",649
"1844",173
"1845",15
"1846",-49
"1847",-88
"1848",-127
"1849",-132
"1850",-134
"1851",-139
"1852",-132
"1853",-132
"1854",-127
"1855",-129
"1856",-142
"1857",-149
"1858",-151
"1859",-142
"1860",-139
"1861",-144
"1862",-144
"1863",-144
"1864",-146
"1865",-146
"1866",-144
"1867",-142
"1868",-139
"1869",-127
"1870",-127
"1871",-129
"1872",-120
"1873",-110
"1874",-100
"1875",-88
"1876",-68
"1877",-49
"1878",-34
"1879",-20
"1880",-5
